date,datatype,station,attributes,value
2023-01-24T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",61
2023-01-24T00:00:00,TMAX,GHCND:USW00094789,",,W,2400",89
2023-01-25T00:00:00,TMAX,GHCND:USC00280907,",,7,0700",67
2023-01-25T00:00:00,TMAX,GHCND:USC00281335,",,7,0700",72
2023-01-25T00:00:00,TMAX,GHCND:USC00283704,",,7,0700",78
2023-01-25T00:00:00,TMAX,GHCND:USC00284987,",,7,0630",78
2023-01-25T00:00:00,TMAX,GHCND:USC00301309,",,7,0700",61
2023-01-25T00:00:00,TMAX,GHCND:USC00308577,",,7,0800",67
2023-01-25T00:00:00,TMAX,GHCND:USC00309580,",,7,",78
2023-01-25T00:00:00,TMAX,GHCND:USW00014732,",,W,2400",128
2023-01-25T00:00:00,TMAX,GHCND:USW00014734,",,W,2400",144
2023-01-25T00:00:00,TMAX,GHCND:USW00054743,",,W,",89
2023-01-25T00:00:00,TMAX,GHCND:USW00054787,",,W,",128
2023-01-25T00:00:00,TMAX,GHCND:USW00094728,",,W,2400",122
2023-01-25T00:00:00,TMAX,GHCND:USW00094741,",,W,",128
2023-01-25T00:00:00,TMAX,GHCND:USW00094745,",,W,2400",117
